Cod regiune	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
BE10	2,70	33,33	0,00	0,00	66,67	33,33	33,33	33,33	33,33	66,67
BE21	3,10	100,00	33,33	0,00	66,67	33,33	0,00	33,33	0,00	66,67
BE22	2,50	66,67	0,00	0,00	33,33	33,33	33,33	0,00	0,00	33,33
BE23	3,40	66,67	0,00	0,00	66,67	33,33	33,33	33,33	0,00	66,67
BE24	2,50	0,00	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00
BE25	2,80	33,33	33,33	0,00	33,33	33,33	33,33	33,33	0,00	33,33
BE31	2,10	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00	33,33
BE32	3,80	33,33	33,33	0,00	0,00	0,00	33,33	33,33	0,00	100,00
BE33	2,40	33,33	33,33	0,00	0,00	33,33	0,00	33,33	0,00	66,67
BE34	1,90	0,00	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00
BE35	2,80	0,00	0,00	0,00	0,00	33,33	0,00	33,33	0,00	66,67
BG31	7,10	0,00	0,00	0,00	100,00	0,00	33,33	100,00	0,00	66,67
BG32	6,40	33,33	66,67	0,00	100,00	66,67	33,33	33,33	0,00	100,00
BG33	5,80	33,33	33,33	0,00	66,67	66,67	0,00	66,67	0,00	66,67
BG34	9,60	0,00	66,67	0,00	100,00	0,00	0,00	100,00	33,33	66,67
BG41	3,10	0,00	100,00	0,00	100,00	33,33	33,33	100,00	33,33	100,00
BG42	5,10	0,00	0,00	0,00	100,00	66,67	0,00	100,00	0,00	100,00
CZ01	1,80	33,33	66,67	0,00	66,67	0,00	0,00	66,67	33,33	33,33
CZ02	1,50	0,00	33,33	0,00	66,67	33,33	66,67	33,33	0,00	66,67
CZ03	1,80	33,33	0,00	0,00	33,33	0,00	0,00	33,33	0,00	0,00
CZ04	3,10	100,00	33,33	0,00	66,67	66,67	0,00	100,00	0,00	100,00
CZ05	2,10	33,33	33,33	0,00	66,67	0,00	0,00	0,00	33,33	66,67
CZ06	2,30	66,67	33,33	0,00	33,33	33,33	0,00	0,00	0,00	33,33
CZ07	3,00	66,67	0,00	0,00	33,33	33,33	0,00	33,33	0,00	33,33
CZ08	2,30	33,33	66,67	0,00	33,33	0,00	0,00	0,00	0,00	66,67
DK01	2,90	66,67	0,00	0,00	66,67	33,33	0,00	33,33	0,00	33,33
DK02	3,50	0,00	0,00	0,00	0,00	33,33	0,00	0,00	0,00	33,33
DK03	3,30	0,00	0,00	0,00	0,00	33,33	33,33	33,33	0,00	33,33
DK04	2,70	33,33	33,33	0,00	66,67	33,33	0,00	33,33	33,33	66,67
DK05	4,20	0,00	0,00	0,00	33,33	0,00	0,00	33,33	0,00	66,67
DE11	3,00	100,00	66,67	0,00	0,00	100,00	66,67	33,33	66,67	66,67
DE12	3,10	66,67	0,00	0,00	33,33	100,00	66,67	0,00	0,00	66,67
DE13	3,50	66,67	0,00	0,00	0,00	33,33	33,33	33,33	33,33	66,67
DE14	2,10	66,67	0,00	0,00	33,33	66,67	0,00	0,00	0,00	33,33
DE21	2,30	100,00	0,00	0,00	66,67	33,33	0,00	100,00	0,00	33,33
DE22	3,10	0,00	0,00	0,00	0,00	0,00	0,00	0,00	33,33	0,00
DE23	2,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	33,33	66,67
DE24	3,50	0,00	0,00	0,00	33,33	0,00	33,33	0,00	0,00	33,33
DE25	3,10	66,67	33,33	0,00	0,00	66,67	0,00	0,00	0,00	100,00
DE26	3,30	0,00	0,00	0,00	0,00	66,67	0,00	0,00	0,00	0,00
DE27	1,90	33,33	0,00	0,00	0,00	0,00	0,00	66,67	0,00	66,67
DE30	2,90	66,67	33,33	0,00	100,00	66,67	0,00	0,00	0,00	66,67
DE40	3,00	33,33	33,33	0,00	33,33	66,67	0,00	33,33	0,00	66,67
DE50	2,60	66,67	0,00	0,00	0,00	66,67	0,00	0,00	0,00	33,33
DE60	3,20	33,33	33,33	0,00	0,00	0,00	66,67	66,67	0,00	66,67
DE71	2,80	100,00	0,00	0,00	0,00	66,67	66,67	66,67	33,33	66,67
DE72	3,60	0,00	0,00	0,00	33,33	33,33	33,33	0,00	0,00	0,00
DE73	2,40	33,33	33,33	0,00	0,00	33,33	0,00	33,33	0,00	0,00
DE80	2,00	33,33	66,67	0,00	0,00	33,33	0,00	33,33	0,00	66,67
DE91	4,30	66,67	0,00	0,00	0,00	66,67	0,00	33,33	0,00	100,00
DE92	2,50	33,33	33,33	0,00	33,33	33,33	0,00	66,67	0,00	100,00
DE93	4,10	66,67	0,00	0,00	66,67	33,33	33,33	33,33	0,00	100,00
DE94	2,70	0,00	0,00	33,33	33,33	33,33	33,33	66,67	0,00	66,67
DEA1	3,20	100,00	33,33	0,00	66,67	100,00	66,67	100,00	0,00	100,00
DEA2	2,90	66,67	33,33	0,00	66,67	66,67	0,00	100,00	0,00	100,00
DEA3	4,10	100,00	0,00	0,00	33,33	33,33	66,67	66,67	0,00	33,33
DEA4	2,60	33,33	100,00	0,00	66,67	66,67	0,00	66,67	33,33	66,67
DEA5	3,90	66,67	100,00	0,00	66,67	100,00	66,67	100,00	0,00	100,00
DEB1	3,00	66,67	0,00	0,00	0,00	0,00	33,33	0,00	0,00	66,67
DEB2	2,80	0,00	66,67	0,00	0,00	0,00	0,00	0,00	0,00	33,33
DEB3	3,00	100,00	0,00	0,00	0,00	0,00	33,33	33,33	33,33	0,00
DED2	2,20	33,33	0,00	0,00	33,33	33,33	33,33	33,33	0,00	33,33
DED4	2,30	33,33	0,00	0,00	33,33	33,33	33,33	0,00	33,33	0,00
DED5	3,10	33,33	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00
DEE0	3,40	0,00	33,33	0,00	66,67	66,67	33,33	33,33	33,33	33,33
DEF0	3,00	66,67	33,33	0,00	0,00	0,00	66,67	33,33	0,00	100,00
DEG0	3,10	100,00	33,33	0,00	33,33	0,00	0,00	0,00	0,00	33,33
EE00	2,20	33,33	33,33	0,00	66,67	66,67	0,00	33,33	33,33	66,67
IE04	3,90	33,33	0,00	0,00	0,00	0,00	0,00	33,33	33,33	33,33
IE05	3,70	66,67	0,00	0,00	33,33	0,00	33,33	0,00	0,00	0,00
IE06	2,60	33,33	0,00	0,00	0,00	66,67	0,00	66,67	0,00	33,33
EL30	3,40	100,00	33,33	0,00	100,00	66,67	66,67	100,00	0,00	33,33
EL42	2,60	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
EL51	7,10	33,33	0,00	0,00	100,00	0,00	33,33	100,00	0,00	0,00
EL52	3,70	66,67	33,33	0,00	100,00	66,67	0,00	33,33	33,33	0,00
EL54	4,00	33,33	0,00	0,00	33,33	0,00	0,00	33,33	0,00	0,00
EL61	2,90	66,67	0,00	0,00	66,67	0,00	0,00	0,00	0,00	0,00
EL62	5,00	0,00	0,00	0,00	33,33	33,33	0,00	33,33	0,00	0,00
EL63	3,40	33,33	0,00	0,00	100,00	33,33	0,00	33,33	0,00	0,00
EL64	2,70	66,67	0,00	0,00	100,00	33,33	0,00	0,00	0,00	0,00
EL65	4,20	66,67	0,00	0,00	100,00	0,00	0,00	33,33	0,00	0,00
ES11	2,30	33,33	66,67	0,00	33,33	66,67	0,00	66,67	33,33	33,33
ES12	2,30	33,33	0,00	0,00	0,00	66,67	0,00	0,00	0,00	0,00
ES13	4,90	0,00	0,00	0,00	33,33	0,00	33,33	0,00	0,00	0,00
ES21	2,50	66,67	33,33	0,00	66,67	66,67	33,33	100,00	33,33	66,67
ES22	2,90	66,67	0,00	0,00	33,33	0,00	33,33	33,33	0,00	33,33
ES23	5,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
ES24	1,90	0,00	0,00	0,00	33,33	33,33	0,00	66,67	0,00	0,00
ES30	2,50	100,00	100,00	0,00	100,00	66,67	66,67	100,00	66,67	100,00
ES41	2,30	33,33	0,00	0,00	33,33	33,33	33,33	66,67	0,00	33,33
ES42	3,00	66,67	66,67	0,00	0,00	66,67	0,00	66,67	66,67	66,67
ES43	1,50	33,33	0,00	0,00	33,33	0,00	33,33	33,33	33,33	33,33
ES51	2,10	100,00	100,00	0,00	33,33	100,00	100,00	66,67	66,67	100,00
ES52	2,30	100,00	66,67	0,00	100,00	100,00	66,67	33,33	0,00	100,00
ES53	2,30	0,00	0,00	0,00	33,33	66,67	0,00	0,00	0,00	33,33
ES61	3,00	100,00	100,00	0,00	66,67	66,67	100,00	100,00	33,33	100,00
ES62	2,80	100,00	0,00	0,00	66,67	0,00	33,33	66,67	33,33	33,33
ES70	2,80	66,67	33,33	0,00	66,67	33,33	33,33	0,00	0,00	66,67
FR10	4,10	100,00	100,00	0,00	100,00	100,00	100,00	100,00	66,67	100,00
FRB0	3,40	66,67	33,33	0,00	0,00	100,00	0,00	100,00	66,67	66,67
FRC1	2,60	100,00	100,00	0,00	33,33	66,67	0,00	33,33	0,00	0,00
FRC2	3,50	100,00	33,33	0,00	0,00	0,00	0,00	100,00	33,33	66,67
FRD1	3,00	66,67	66,67	0,00	33,33	33,33	33,33	33,33	0,00	66,67
FRD2	3,30	100,00	100,00	0,00	100,00	33,33	0,00	33,33	0,00	33,33
FRE1	2,80	100,00	100,00	0,00	100,00	33,33	66,67	100,00	33,33	100,00
FRE2	3,60	100,00	100,00	0,00	100,00	33,33	33,33	66,67	0,00	33,33
FRF1	3,80	100,00	33,33	0,00	100,00	66,67	33,33	100,00	0,00	66,67
FRF2	3,70	66,67	33,33	0,00	0,00	0,00	33,33	66,67	0,00	66,67
FRF3	3,70	66,67	100,00	0,00	66,67	33,33	66,67	66,67	0,00	100,00
FRG0	3,00	66,67	33,33	0,00	100,00	0,00	66,67	100,00	66,67	100,00
FRH0	3,10	66,67	100,00	0,00	33,33	66,67	33,33	66,67	0,00	100,00
FRI1	2,80	100,00	33,33	0,00	33,33	100,00	0,00	66,67	33,33	100,00
FRI2	4,50	33,33	0,00	0,00	33,33	0,00	33,33	100,00	0,00	33,33
